"ID","FOURNISSEUR_NOM","FOURNISSEUR_REFERENCE","SizesColors","DATE_CREATION","Title","Image","Description","Category","Subcategory","SubSubcategory"
9d84fe3d-301f-4425-b5e2-d81c174a28c3,TREESCO,2791,,25/08/2023,Poche MOLLE Ripstop,https://www.vsmdiffusion.fr/6578-large_default/poche-molle-ripstop.jpg,"Composition : Tissus RIPSTOP enduit PVC Caractéristiques : Adaptée pour être porté sur un sac, gilet tactique ou ceinturon grâce à son système d'attache molle. Poches de rangement intérieures. Velcro sur l'avant de la poche. Dimensions :Hauteur 11cm, largeur 18 cm, épaisseur 4cmColoris :Noir, Kaki, Oryx ou Camo CE",Accessoires,,
a5683c00-21aa-4835-92f6-881dfa4f168b,TREESCO,2904,"10/CAMO, 12/CAMO, 14/CAMO, 4/CAMO",08/11/2022,Pantalon BDU enfant camo,https://www.vsmdiffusion.fr/2549-large_default/pantalon-bdu-enfant-camo.jpg,"Composition : Extérieur   65%  polyester,  35%  coton, Caractéristiques : 6  poches,Ceinture réglable,Bas à lacets. Coloris : Camo CE ou Urbain Gris Tailles : 4 ans au 14 ans",Vêtements,Bas,Pantalons
385fd76e-ad12-4ca6-a555-2a766b69bca1,TREESCO,2909,"10/CAMO, 12/CAMO, 14/CAMO, 4/CAMO",08/11/2022,Parka Dubon enfant camo,https://www.vsmdiffusion.fr/274-large_default/parka-dubon-enfant-camo.jpg,"Composition : 65% polyester 35%   coton  traité   déperlant,Doublure filet et ouate 100% polyester Caractéristiques : 2 poches  extérieures,2  poches intérieures,Capuche détachableCordon  de  serrage à la taille. Coloris : Camo CE ou Urbain Gris Tailles : 4 ans à 14 ans",Vêtements,Hauts,Blousons
67f23474-dc64-4587-8d37-fa7d5504cdda,TREESCO,2914,"10/CAMO, 12/CAMO, 14/CAMO, 4/CAMO",08/11/2022,Coupe vent fourré enfant camo,https://www.vsmdiffusion.fr/130-large_default/coupe-vent-fourre-enfant-camo.jpg,"Composition : 100% polyester enduit PVC,Coutures  étanches,Intérieur polaire et ouate 100% polyester Caractéristiques : 2  poches  extérieures,1  poches intérieure,Cordon de serrage Tailles : 4 ans à 14 ans",Vêtements,Hauts,Blousons
2122756e-7ec4-417e-bb76-b4deeb4c7bb7,TREESCO,2924,"10/ORANGE, 12/ORANGE, 14/ORANGE, 16/ORANGE",08/11/2022,Veste Securite Enfant,https://www.vsmdiffusion.fr/5566-large_default/veste-securite-enfant.jpg,"Composition : 100% polyester, enduit polyuréthane imperméable. Caractéristiques :  Coutures étanches. Doublure filet anti-transpiration 100% polyester. 2 poches repose-mains, 2 grandes poches basses avec cartouchières intégrées, 2 poches intérieures, carnier doublé PVC ouverture sur 2 côtés, renforts aux épaules et aux coudes, évents d'aération dans le dos. Normé CE Coloris :Orange Tailles :6 ans à 16 ans",Vêtements,Hauts,Blousons
39c9a1ac-3ff1-48fd-a1df-da3d91c1efb9,TREESCO,2927,"10/ORANGE, 12/ORANGE, 14/ORANGE, 16/ORANGE",08/11/2022,BLOUSON POLAIRE ENFANT,https://www.vsmdiffusion.fr/8739-large_default/blouson-polaire-enfant.jpg,Composition : 100 % polyester 350 g/m². Caractéristiques : Blouson polaire enfant avec 3 poches zippées dont 1 poche poitrine. Renforts aux coudes. Tailles :   6ans au 16ans  Coloris :  Orange,Vêtements,Hauts,Blousons
d7597a3a-475f-4ff7-a918-fb19bd7e566f,TREESCO,2928,"10/KAKI, 12/KAKI, 14/KAKI, 16/KAKI",08/11/2022,PANTALON STRONGER ENFANT,https://www.vsmdiffusion.fr/12156-large_default/patalon-stronger-enfant.jpg,"Composition : 100% polyester 600 deniers, Enduction polyuréthane, Imperméable et respirante,Coutures étanches, Doublures polycoton 65% polyester, 35% coton Caractéristiques : 6 poches,Ceinture élastiquée et antiglisse, Montante dans le dos, genoux préformés, Bas zippés et renforcés. Normé CE. Tailles :  6 ans au 16 ans  Coloris :  kaki et Orange",Vêtements,Bas,Pantalons
5a0a3630-4a69-4117-b3b5-22b23172202b,TREESCO,2929,"10/GHOST, 12/GHOST, 14/GHOST, 16/GHOST",08/11/2022,BLOUSON CHASSE SOFTSHELL GHOSTCAMO ENFANT,https://www.vsmdiffusion.fr/10007-large_default/blouson-chasse-softshell-ghostcamo-enfant.jpg,"Composition : Softshell triple couches, tissu extérieur 97% polyester, 3% élasthanne. Membrane polyuréthane laminée, imperméable et respirante, tissu intérieur polaire 100% polyester.  Caractéristiques : 1 poche poitrine zippée, 2 poches repose-mains zippées, Cordon de serrage à la taille, Capuche intégrée au col. Normé CE. Tailles :   6 ans à 14 ans Coloris :  Ghostcamo BB",Vêtements,Hauts,Blousons
452b64d1-bf30-4918-a7b3-d2b4fd4b7567,Brandit,3101,"3XL/CAMEL, 3XL/KAKI, 3XL/NOIR, 4XL/CAMEL, 4XL/KAKI, 4XL/NOIR, XL/CAMEL, XL/KAKI, XL/NOIR, L/CAMEL, L/KAKI, L/NOIR, M/CAMEL, M/KAKI, M/NOIR, S/CAMEL, S/KAKI, S/NOIR, XXL/CAMEL, XXL/KAKI, XXL/NOIR",24/08/2022,M65 Giant Jacket,https://brandit-wear.com/media/4a/4d/a5/1711557667/3101-1_W_001.png,,Vêtements,Hauts,Blousons
37f24abf-4bd1-4e12-a875-c269daa815d2,Brandit,3107,"L/KAKI, L/NOIR, M/KAKI, M/NOIR, S/KAKI, S/NOIR, XL/KAKI, XL/NOIR, XXL/KAKI, XXL/NOIR",24/08/2022,Bronx Jacket,https://brandit-wear.com/media/4c/a4/6f/1711557993/3107-1_W_001.png,,Vêtements,Hauts,Blousons
9ab7f521-dc00-4389-9881-0d8cba2398f3,Brandit,3109,"L/NOIR, M/NOIR, S/NOIR, XL/NOIR, XXL/NOIR",08/11/2023,Pea Coat,https://brandit-wear.com/media/0c/fe/8b/1711558001/3109-2_W_001.png,,Vêtements,Hauts,Blousons
22461256-5f60-44a5-8df7-b2f31c8a12c4,Brandit,3111,"3XL/NOIR, 4XL/NOIR, XL/NOIR, L/NOIR, M/NOIR, S/NOIR, XXL/NOIR",24/08/2022,Lord Canterbury Jacket,https://brandit-wear.com/media/c1/29/0e/1711558007/3111-13_W_001.png,,Vêtements,Hauts,Blousons
5a4dba94-59f8-40fd-bfa8-7cb86aba7da7,Brandit,3116,"3XL/CAMEL, 3XL/KAKI, 3XL/NOIR, 4XL/CAMEL, 4XL/KAKI, 4XL/NOIR, XL/CAMEL, XL/KAKI, XL/NOIR, L/CAMEL, L/KAKI, L/NOIR, M/CAMEL, M/KAKI, M/NOIR, S/CAMEL, S/KAKI, S/NOIR, XXL/CAMEL, XXL/KAKI, XXL/NOIR",24/08/2022,Britannia Jacket,https://brandit-wear.com/media/71/a7/77/1711558009/3116-1_W_001.png,,Vêtements,Hauts,Blousons
cff5f6e3-3935-456c-8b5a-b947dadecf7f,Brandit,3170,"3XL/KAKI, 3XL/NOIR, 4XL/KAKI, 4XL/NOIR, XL/KAKI, XL/NOIR, L/KAKI, L/NOIR, M/KAKI, M/NOIR, S/KAKI, S/NOIR, XXL/KAKI, XXL/NOIR",24/08/2022,Performance Outdoor Jacket,https://brandit-wear.com/media/f7/df/16/1711618173/3170-1_W_001.png,,Vêtements,Hauts,Blousons
8b2bb5aa-2be3-4b5f-876c-e3f9be93fffd,Brandit,3172,"3XL/BLACK, 3XL/RED, 4XL/BLACK, 4XL/RED, XL/BLACK, XL/RED, L/BLACK, L/RED, M/BLACK, M/RED, S/BLACK, S/RED, XXL/BLACK, XXL/RED",24/08/2022,Lumber Jacket Hooded,https://brandit-wear.com/media/82/09/32/1711558041/3172-183_W_001.png,,Vêtements,Hauts,Blousons
57c48cf1-a0aa-4b29-b0d0-5423bf1484f0,TREESCO,3445,,29/11/2022,Tour du cou polaire TU,https://www.vsmdiffusion.fr/294-large_default/tour-du-cou-polaire.jpg,"Composition : Micro-polaire 100% polyester Coloris : Noir, Kaki ou Camo CE",Accessoires,Masques,
13233b57-cf7a-4b7d-a297-7e079c05ce74,Brandit,4002,"3XL/BLACK, 3XL/RED, 4XL/BLACK, 4XL/RED, XL/BLACK, XL/RED, L/BLACK, L/RED, M/BLACK, M/RED, S/BLACK, S/RED, XXL/BLACK, XXL/RED",24/08/2022,Check Shirt Long Sleeve,https://brandit-wear.com/media/05/73/24/1711558080/4002-221_W_001.png,,Autres,,
e2518c00-6582-4d0b-834e-cc6a852fe2f7,Brandit,4023,"3XL/KAKI, 3XL/NOIR, 4XL/KAKI, 4XL/NOIR, XL/KAKI, XL/NOIR, L/KAKI, L/NOIR, M/KAKI, M/NOIR, S/KAKI, S/NOIR, XXL/KAKI, XXL/NOIR",24/08/2022,Luis Vintage Shirt Long Sleeve,https://brandit-wear.com/media/80/83/a0/1711558105/4023-1_W_001.png,,Autres,,
c1c74245-aaec-4ebf-8a61-cc6b243814d2,Brandit,4200,,24/08/2022,T-Shirt,https://brandit-wear.com/media/73/7c/2d/1711558152/4200-1_W_001.png,,Vêtements,Hauts,T-shirts
